,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,G2-M Checkpoint,0.7899307758862143,2.675736162673355,0.01,0.01,0.01,93/197,6.66%,NEK2;UBE2C;CKS2;KIF4A;TPX2;CDKN3;CDK1;PTTG1;PLK1;AURKA;BUB1;KIF2C;UBE2S;CENPF;NDC80;TROAP;TACC3;CDC20;CCNB2;PBK;EXO1;AURKB;EZH2;KPNA2;JPT1;KIF23;LMNB1;CENPA;MYBL2;E2F1;KIF11;HMMR;CCNA2;KNL1;CENPE;HMGB3;MAD2L1;KIF22;TTK;H2AZ1;TOP2A;RACGAP1;CDC45;KIF15;DDX39A;BIRC5;H2AX;ESPL1;POLQ;MKI67;CCNF;RAD54L;ORC6;CDC6;STIL;HNRNPU;ODF2;E2F2;STMN1;GINS2;BUB3;PLK4;TRAIP;CHEK1;DTYMK;SQLE;CDC25A;CDC7;DBF4;H2BC12;SLC7A5;POLA2;BRCA2;NSD2;HMGA1;SMC4;TLE3;PRIM2;CHAF1A;BCL3;HOXC10;SNRPD1;MCM2;SAP30;RBM14;BARD1;SRSF1;MCM3;RAD21;LIG3;MCM6;POLE;FBXO5
1,prerank,E2F Targets,0.8143636344959148,2.6604717994306455,0.01,0.01,0.01,108/200,8.25%,CKS2;KIF4A;ASF1B;CDKN3;UBE2T;CDK1;PTTG1;PLK1;SPC25;AURKA;CDCA3;SPC24;MELK;KIF2C;SPAG5;UBE2S;CDCA8;KIF18B;TACC3;CDC20;TK1;CCNB2;GINS1;DLGAP5;AURKB;EZH2;KPNA2;JPT1;RRM2;LMNB1;CENPM;MYBL2;HMMR;E2F8;CENPE;HMGB3;DEPDC1;MAD2L1;BUB1B;KIF22;H2AZ1;TRIP13;TOP2A;RACGAP1;DDX39A;BIRC5;H2AX;ESPL1;PCNA;TIMELESS;MKI67;CIT;ORC6;RAD51AP1;NME1;ATAD2;DONSON;MTHFD2;STMN1;PLK4;CHEK1;DIAPH3;MCM4;CDKN2A;CCNE1;DCTPP1;SNRPB;CDC25A;MXD3;TUBG1;HELLS;RFC2;POLA2;RBBP7;GINS4;BRCA2;DSCC1;HMGA1;CTPS1;SMC4;CNOT9;LIG1;PRIM2;DNMT1;MCM2;RAN;PAICS;RANBP1;RPA3;BARD1;SRSF1;MCM3;NOP56;RAD21;TCF19;HMGB2;MCM6;CHEK2;POLE;WDR90;CSE1L;SLBP;POP7;TUBB;RAD1;CDC25B;BRCA1;POLD1
2,prerank,Adipogenesis,-0.7032640001717952,-2.479599607166034,0.01,0.01,0.01,59/198,10.95%,GPAM;SORBS1;CAVIN2;ITIH5;LPL;CAT;ITGA7;PPARG;LIFR;GPX3;LIPE;CD36;FABP4;LEP;CIDEA;FZD4;HADH;MYLK;ENPP2;PFKFB3;CAVIN1;ALDH2;ITSN1;ANGPT1;ESYT1;ADIPOQ;ELMOD3;SPARCL1;MGLL;RETSAT;SSPN;STAT5A;PHLDB1;TANK;GBE1;ACADL;ARL4A;BCL6;MRAP;CD302;LAMA4;ACAA2;PGM1;IFNGR1;ACADM;ABCA1;ANGPTL4;SNCG;CDKN2C;ACADS;VEGFB;SUCLG1;ME1;MTARC2;PEMT;HIBCH;CS;SLC27A1;PTGER3
3,prerank,Myc Targets V1,0.6695470878178345,2.1893279823109966,0.01,0.01,0.01,113/199,23.69%,CDC20;KPNA2;CCNA2;MAD2L1;H2AZ1;CDC45;PCNA;CCT3;NME1;HNRNPU;HDGF;BUB3;MCM4;CBX3;CSTF2;HPRT1;PSMC4;ERH;RNPS1;HNRNPA2B1;ILF2;TYMS;RFC4;PSMD14;CTPS1;HSPE1;SNRPG;HNRNPC;SNRPD1;MCM2;RAN;RANBP1;SRSF1;RUVBL2;NOP56;ACP1;MCM6;PSMB3;SNRPA1;TRIM28;PPIA;CDK2;GLO1;SRPK1;CCT5;EPRS1;PPM1G;COPS5;TXNL4A;SRSF2;RPS10;LSM7;SET;SNRPB2;PSMA4;PGK1;SSBP1;PSMD3;PRDX4;PRPS2;CCT2;NCBP1;NOP16;NHP2;TARDBP;GOT2;CLNS1A;POLE3;GSPT1;MRPL9;NCBP2;FAM120A;HSP90AB1;LSM2;MCM7;AIMP2;EIF2S2;HDAC2;HSPD1;NOLC1;PSMB2;POLD2;PTGES3;NDUFAB1;MCM5;PRPF31;XPO1;TFDP1;CCT7;SNRPD2;PSMA7;MRPL23;RRM1;IARS1;SMARCC1;RRP9;PSMD1;PSMD8;XPOT;GNL3;PA2G4;PSMA6;CDK4;TUFM;HNRNPR;PSMA1;VDAC1;EIF4E;CAD;VBP1;DHX15;COX5A;PSMC6
4,prerank,Myogenesis,-0.6200205725626837,-2.094365859869912,0.01,0.01,0.01,57/192,10.30%,MYOM1;SORBS1;FHL1;PYGM;GSN;ITGA7;MYH11;GPX3;DMD;CD36;DES;MRAS;COX7A1;ACSL1;MYLK;CASQ2;CFD;TNNT3;FXYD1;CRYAB;MYOM2;FOXO4;SSPN;CKMT2;CDH13;NOS1;IGF1;FGF2;MYH1;ABLIM1;PRNP;MYH3;LAMA2;LDB3;PC;TAGLN;CAV3;SOD3;SGCG;SGCA;PTGIS;MYO1C;APOD;MEF2C;DAPK2;HRC;NAV2;MYL2;LPIN1;SCHIP1;BIN1;MYL3;ITGB1;EIF4A2;SCD;HBEGF;ACTC1
5,prerank,mTORC1 Signaling,0.6104144400794018,1.9707771612280072,0.01,0.01,0.01,91/199,19.61%,PLK1;AURKA;BUB1;RRM2;DDX39A;CCNF;MTHFD2;MCM4;SQLE;CDC25A;TRIB3;TUBG1;TOMM40;SDF2L1;SLC7A5;STIP1;HPRT1;PSMC4;CACYBP;PSMD14;HSPE1;RPN1;TMEM97;CALR;CCT6A;ARPC5L;MCM2;YKT6;PSPH;SLC7A11;PRDX1;HSPA5;MLLT11;SLC2A1;P4HA1;SHMT2;EBP;PNP;CD9;PPIA;PNO1;HSPA4;EPRS1;COPS5;FDXR;GAPDH;SERPINH1;CXCR4;EEF1E1;SORD;EGLN3;PSMA4;ERO1A;PGK1;RDH11;CORO1A;NFKBIB;TFRC;GMPS;DHCR24;PSMD12;ACTR3;ACTR2;PSMA3;UCHL5;PSMB5;GSR;GOT1;TPI1;EIF2S2;HSPD1;PIK3R3;HMBS;ALDOA;PDAP1;SERP1;RAB1A;HSP90B1;SLC1A4;ACLY;PSME3;TCEA1;DHCR7;PSMC2;FKBP2;NUP205;XBP1;ITGB2;HSPA9;RRP9;RIT1
6,prerank,UV Response Dn,-0.5739792099826878,-1.8743442161215993,0.01,0.01,0.01,49/143,11.91%,CAV1;PPARG;TGFBR2;PLPP3;PRKAR2B;NR3C1;TGFBR3;KIT;MGLL;PTPRM;PTPN21;CELF2;DLC1;DUSP1;SYNE1;TFPI;EFEMP1;VLDLR;LAMC1;MET;GRK5;F3;NRP1;PRKCA;FBLN5;ATP2B4;ADD3;CCN1;RND3;ID1;ACVR2A;RBPMS;SCHIP1;MAP2K5;NFIB;PTEN;NEK7;NR1D2;KALRN;TJP1;BCKDHB;ADGRL2;CITED2;LPAR1;AKT3;BMPR1A;MYC;IRS1;DAB2
7,prerank,Myc Targets V2,0.6773909621065759,1.8589570583289146,0.01,0.01,0.01,37/57,24.17%,PLK1;PLK4;MCM4;DCTPP1;CBX3;TFB2M;HSPE1;TMEM97;FARSA;NOP56;SLC19A1;PUS1;BYSL;SORD;RRP12;RABEPK;NOP16;EXOSC5;GRWD1;TBRG4;NOC4L;AIMP2;HSPD1;NOLC1;MCM5;MRTO4;LAS1L;TCOF1;RRP9;PES1;MPHOSPH10;GNL3;PA2G4;CDK4;IMP4;UNG;PRMT3
8,prerank,Unfolded Protein Response,0.5961721705789527,1.83156315716482,0.01,0.01,0.01,54/112,23.28%,H2AX;MTHFD2;LSM4;ALDH18A1;PARN;EIF4A3;SLC7A5;SRPRB;EXOSC4;ARFGAP1;CALR;NOP56;FUS;HSPA5;YIF1A;YWHAZ;NFYA;BANF1;CNOT6;CKS1B;ERO1A;TARS1;TATDN2;DKC1;SPCS1;NHP2;EXOSC1;EXOSC5;LSM1;KDELR3;POP4;IFIT1;EIF4EBP1;HYOU1;NOLC1;CHAC1;EXOC2;SERP1;HSP90B1;SLC1A4;DNAJA4;IARS1;XBP1;HSPA9;RRP9;KHSRP;PDIA6;XPOT;VEGFA;EIF2AK3;SSR1;PDIA5;EIF4E;EIF4G1
9,prerank,DNA Repair,0.5753686416069043,1.822699918478446,0.01,0.01,0.01,74/147,25.08%,ZWINT;RAD51;PCNA;FEN1;NME1;CANT1;RFC2;ARL6IP1;POLR2H;CSTF3;HPRT1;POLA2;TYMS;RFC4;ALYREF;ZNF707;RAE1;LIG1;POLR2K;RPA3;SAC3D1;TMED2;NME3;ITPA;PNP;STX3;SEC61A1;POLB;POLD1;RFC5;POLR2G;CCNO;NME4;CETN2;TARBP2;RFC3;VPS28;CMPK2;ADRM1;POLD4;PRIM1;GUK1;NCBP2;DGUOK;POLH;COX17;VPS37D;POLR2J;RBX1;MPG;POLR3C;POLR1C;UMPS;SUPT5H;NELFCD;NT5C3A;POLR2I;POLR2D;TAF12;TAF9;ERCC2;DAD1;PDE6G;MPC2;NELFE;SNAPC4;POLD3;EDF1;UPF3B;GTF3C5;SSRP1;POLA1;TAF6;RALA
