,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),64/176,2.479951146320961e-09,1.0904345190373263e-05,0,0,2.690304800296162,53.30846219160521,VIT;PRSS1;ECM2;HPSE2;COL14A1;COL12A1;LOXL4;SCX;DMP1;ADAMTS5;IBSP;MMP27;ADAMTS1;ADAMTSL4;CREB3L1;MMP28;COL10A1;CTSG;ADAMTS8;PRSS2;POSTN;MMP1;APLP1;MMP3;P3H4;NPNT;MMP8;MMP9;MMP10;ADAMTS20;MMP12;MMP11;CCDC80;COL2A1;MMP13;COL4A3;ADAM8;MATN3;DDR2;MATN2;COL17A1;TMPRSS6;COL11A1;DPT;KLK4;NDNF;ADAMTS14;FLRT2;ADAMTS19;ADAMTS18;HAS1;HAS3;ELANE;GPM6B;GSN;COL24A1;CMA1;COL22A1;COL1A1;COL1A2;COL5A1;COL5A2;COL9A1;RECK
4397,KEGG_2021_Human,Systemic lupus erythematosus,50/135,6.772736662617514e-08,2.099548365411429e-05,0,0,2.7628671198906862,45.60879016513403,H2AX;CD80;H2AC16;H2AC17;H2AC11;C4A;H2AC13;FCGR3A;H2AC14;H2BC21;H4C2;CTSG;H4C4;H4C3;H4C5;H3C8;H2AC8;H2AC6;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H2BC15;IFNG;H4C14;H4C12;H2BC11;H4C11;C6;C7;H3C13;H3C12;H3C10;H3C3;H3C2;FCGR1A;ELANE;H3C7;H4C8;H2AZ1;H2BC9;H2BC7;H4C9;H2BC8;H2BC5;H2BC6;H2BC4;GRIN2B;H2AC20
1,GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),44/109,2.150045710076337e-08,4.726875493602827e-05,0,0,3.177836992666652,56.10532111109908,VIT;COL17A1;ECM2;HPSE2;COL14A1;COL11A1;DMP1;NDNF;ADAMTS5;ADAMTS14;IBSP;MMP27;ADAMTS19;ADAMTS1;ADAMTSL4;ADAMTS18;MMP28;COL10A1;ADAMTS8;POSTN;COL24A1;MMP1;COL22A1;APLP1;MMP3;TEX14;NPNT;MMP8;MMP9;MMP10;ADAMTS20;COL1A1;MMP12;MMP11;CCDC80;COL1A2;MMP13;COL5A1;COL4A3;COL5A2;COL9A1;RECK;MATN3;MATN2
2,GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),43/110,9.320754867083209e-08,0.00013661119716854958,0,0,3.0116788695332724,48.75437401775874,VIT;COL17A1;ECM2;HPSE2;COL14A1;COL11A1;DMP1;NDNF;ADAMTS5;ADAMTS14;IBSP;MMP27;ADAMTS19;ADAMTS1;ADAMTSL4;ADAMTS18;MMP28;COL10A1;ADAMTS8;POSTN;COL24A1;MMP1;COL22A1;APLP1;MMP3;NPNT;MMP8;MMP9;MMP10;ADAMTS20;COL1A1;MMP12;MMP11;CCDC80;COL1A2;MMP13;COL5A1;COL4A3;COL5A2;COL9A1;RECK;MATN3;MATN2
4398,KEGG_2021_Human,Alcoholism,58/186,4.8698742942328094e-06,0.0007548305156060855,0,0,2.127564494107502,26.02531019767632,H2AX;CALML5;H2AC16;H2AC17;H2AC11;GNGT1;H2AC13;H2AC14;CREB3L3;CREB3L4;CREB3L1;H2BC21;H4C2;H4C4;H4C3;SLC18A1;H4C5;H3C8;H2AC8;H2AC6;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H2BC15;H4C14;H4C12;H2BC11;H4C11;CREB5;MAOA;GNAI1;GNG2;H3C13;GNG4;H3C12;H3C10;H3C3;H3C2;H3C7;H4C8;H2AZ1;H2BC9;NTRK2;H2BC7;H4C9;H2BC8;H2BC5;H2BC6;H2BC4;GNG11;GRIN2B;GNG13;GRIN2D;TH;H2AC20;FOSB
4399,KEGG_2021_Human,Neuroactive ligand-receptor interaction,90/341,3.457669596977246e-05,0.0033671035055417,0,0,1.6864136144716175,17.323398226291545,UCN;OXTR;PRSS1;SCT;NPY2R;GRIK4;HTR2C;PTH1R;HTR2A;TRH;HTR4;NR3C1;RXFP1;ADRA1A;GHR;EDNRB;CCKAR;GRM4;GRM8;LEPR;CTSG;PRSS2;LHCGR;EDN2;EDN3;AVPR2;GLP2R;TACR3;AVPR1A;TACR1;SSTR1;SSTR2;GABRG1;UTS2B;GAL;ADRB3;CCKBR;UTS2;OPRD1;GRIA2;ADCYAP1R1;CALCB;CHRNA2;CHRNA6;CHRNA9;ADRB1;ADRB2;NTS;CRHR2;P2RY6;GLRA3;CALCR;NPW;CNR1;GALR1;NPBWR1;PENK;KISS1R;S1PR1;CGA;GABRE;TAC1;GABRD;NTSR1;DRD4;GRIA4;GABRQ;GABBR2;NMB;P2RY10;HTR1E;GABRA5;GABRA4;P2RY14;GABRA3;HTR1D;SCTR;OPRK1;GRIN2B;SLURP1;GRIN2D;KISS1;PYY;P2RX6;P2RX5;LEP;NMU;NMUR1;VIP;F2RL2
4400,KEGG_2021_Human,Tyrosine metabolism,17/36,4.344649684569937e-05,0.0033671035055417,0,0,4.179844497607656,41.98227593506534,PNMT;AOC3;AOC2;ADH1C;ADH1B;MAOA;ADH1A;TAT;TYRP1;ADH4;IL4I1;ALDH3A1;TPO;DCT;TH;AOX1;HPD
6,GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),15/26,5.399682693736759e-06,0.0033917721149086,0,0,6.369831190955552,77.2607677211979,PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25
5,GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),15/26,5.399682693736759e-06,0.0033917721149086,0,0,6.369831190955552,77.2607677211979,PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25
4,GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),15/26,5.399682693736759e-06,0.0033917721149086,0,0,6.369831190955552,77.2607677211979,PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25
3,GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),16/28,3.1023614497619387e-06,0.0033917721149086,0,0,6.229669601438985,79.01306111631375,USP44;PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25
4401,KEGG_2021_Human,Cytokine-cytokine receptor interaction,79/295,5.965685044511838e-05,0.0036987247275973,0,0,1.7183891887839255,16.71460250170001,IL21;CNTFR;CSF3;CXCL9;IL20;EPO;IL24;CXCL17;IL27;CXCL13;CXCL2;CX3CL1;GHR;LEPR;IL12B;CCR8;CCR7;AMH;CCR4;IL11;TNFRSF18;IL19;LIFR;TGFBR2;EDAR;IFNG;LTA;LTB;IL9R;CCL14;CCL13;CCL11;CXCR5;IFNL2;ACVR1C;IFNL1;THPO;CCL7;CXCR3;CXCR2;IL21R;IL36RN;CCL17;RELT;IFNL3;CCL16;CCL25;GDF10;NGFR;CCL24;IL33;CCL23;TSLP;CCL21;CCL20;GDF15;TNFRSF9;BMP8A;OSM;PPBP;INHBA;BMP6;BMP5;BMP3;CXCL10;BMP2;CXCL11;IL6;CXCL12;TNFSF4;LEP;ACKR3;IL17D;INHA;BMPR1B;CCL28;IL17C;IL17B;PF4
